,Axis1,Axis2,Axis3
225,1.71435547,1.08178711,1.66918946
226,1.71484375,1.08789063,-1.7697754
227,1.71557618,1.08276368,1.66894532
228,1.70654297,1.06884766,1.66113282
229,1.88452149,1.14501954,1.69628907
230,1.76293946,1.08276368,1.67553711
231,1.74169922,1.06420899,1.6796875
232,1.73657227,1.06762696,1.66479493
233,1.73706055,1.0769043,1.68310547
234,1.74462891,1.06347657,1.67773438
235,1.7553710999999999,1.08276368,1.66210938
236,1.75854493,1.07958985,1.66259766
237,1.74267579,1.0678711,-1.77148438
238,1.74707032,1.06372071,1.67529297
239,1.73657227,1.03027344,1.68066407
240,1.86865235,1.11840821,1.7565918000000003
241,1.7644043000000003,1.1694336,1.5612793
242,1.7631835999999999,1.00830079,1.6928710999999999
243,1.62011719,1.02075196,1.7475585999999999
244,1.68872071,-1.81298829,1.78417969
245,1.70800782,0.03857422,1.67480469
246,1.69873047,1.44018555,1.90356446
247,-1.92700196,1.20556641,-1.86303711
248,1.83837891,1.08496094,-1.99462891
249,1.82104493,1.00610352,1.7619629
250,1.6459960999999999,0.9675292999999999,1.29248047
251,-1.78588868,-1.95532227,1.30957032
252,1.54248047,1.16503907,1.56713868
253,1.5300293,1.17773438,1.57104493
254,1.69335938,1.17797852,1.56958008
255,1.92163086,1.01831055,1.43530274
256,-1.99316407,1.16137696,1.4831543
257,1.86767579,1.16674805,1.57495118
258,1.33984375,1.0756836,1.63720704
259,1.63769532,0.88647461,1.63256836
260,1.77587891,1.01049805,1.6369628999999999
261,1.71386719,1.05810547,1.69750977
262,1.72436524,1.0300293,1.69335938
263,1.76245118,1.06591797,1.69335938
264,1.73632813,1.07641602,1.7072754
265,1.7644043000000003,1.05444336,1.6694335999999999
266,1.76464844,1.06933594,1.70019532
267,1.74926758,1.07153321,1.68969727
268,1.75146485,1.06640625,1.69018555
269,1.75341797,1.06616211,1.68847657
270,1.76660157,1.04614258,1.69384766
271,1.73632813,-1.80786133,-1.76904297
272,1.72778321,1.05810547,1.69555665
273,1.72363282,-1.80786133,1.69506836
274,1.72802735,1.0612793,1.69433594
275,1.73144532,-1.80737305,1.69995118
276,1.72583008,1.06835938,1.69384766
277,1.72949219,1.07397461,1.69604493
278,1.72802735,1.07006836,1.69384766
279,1.7319335999999999,1.06835938,1.69604493
280,1.72705079,1.06884766,1.69873047
281,1.73022461,1.07250977,1.69750977
282,1.7319335999999999,1.06958008,1.69873047
283,1.72680665,1.06811524,1.69042969
284,1.73144532,1.0678711,1.69067383
285,1.72851563,1.06689454,1.69677735
286,1.73535157,1.06982422,1.68530274
287,1.7385254,1.07153321,1.69555665
288,1.74707032,1.07275391,1.69506836
289,1.74658204,1.0678711,1.69604493
290,1.75146485,1.06420899,1.69604493
291,-1.76513672,1.05957032,1.68701172
292,1.75488282,-1.80834961,-1.76953125
293,1.76684571,1.0666503999999999,1.68896485
294,1.77197266,1.06567383,-1.76928711
295,1.77563477,1.06591797,1.69311524
296,1.79174805,1.07373047,1.6862793000000003
297,1.77514649,1.06494141,1.69116211
298,1.78247071,1.05957032,1.68920899
299,1.77734375,1.06347657,1.68920899
300,1.75146485,1.06420899,1.69604493
301,-1.76513672,1.05957032,1.68701172
302,1.75488282,-1.80834961,-1.76953125
303,1.76684571,1.0666503999999999,1.68896485
304,1.77197266,1.06567383,-1.76928711
305,1.77563477,1.06591797,1.69311524
306,1.79174805,1.07373047,1.6862793000000003
307,1.77514649,1.06494141,1.69116211
308,1.78247071,1.05957032,1.68920899
309,1.77734375,1.06347657,1.68920899
310,1.7878418000000003,1.0588378999999999,1.69067383
311,1.79272461,1.0612793,1.68847657
312,1.79248047,1.05761719,1.68457032
313,1.78930665,1.05761719,1.67993165
314,1.79272461,1.04833985,1.68408204
315,1.78564454,1.05810547,1.68432618
316,1.79199219,1.05712891,1.68530274
317,1.79370118,-1.80810547,1.68969727
318,1.79809571,1.05957032,1.68652344
319,1.79614258,1.05249024,1.67651368
320,1.8022460999999999,1.05859375,1.69042969
321,1.80419922,1.05615235,1.68066407
322,1.79956055,1.05517579,1.6850585999999999
323,1.79589844,1.04467774,1.67456055
324,1.80419922,1.05615235,1.68041993
325,1.7956543000000003,-1.80859375,1.67285157
326,1.80712891,1.05664063,1.67822266
327,1.78710938,1.05053711,-1.76879883
328,1.78955079,1.04370118,1.6796875
329,1.80981446,1.06079102,1.70166016
330,1.80273438,1.05834961,1.68530274
331,1.79785157,1.05175782,1.68701172
332,1.79541016,-1.80932618,1.68701172
333,1.80053711,1.05761719,1.69506836
334,1.7956543000000003,1.05126954,1.68872071
335,1.80151368,1.05810547,1.68139649
336,1.79785157,1.05151368,1.6940918000000003
337,1.79516602,1.05639649,1.68872071
338,1.80249024,1.05981446,1.67944336
339,1.80664063,1.06567383,1.68261719
340,1.79296875,1.04956055,1.69238282
341,1.80053711,1.05615235,1.68920899
342,1.80371094,1.05981446,1.6916504
343,1.80639649,1.06176758,1.69335938
344,1.79345704,1.05395508,1.68310547
345,1.79638672,1.05444336,1.68457032
346,1.79956055,1.05786133,1.67993165
347,1.7932129,1.05737305,1.68310547
348,-1.76220704,1.06176758,1.68090821
349,1.79809571,1.0769043,1.67675782
350,1.78759766,1.06225586,1.67895508
351,1.79516602,1.06347657,1.68579102
352,1.79052735,1.06079102,1.67919922
353,1.78955079,1.05834961,1.67749024
354,1.78857422,1.06079102,1.68725586
355,1.78295899,1.0612793,1.6760254
356,1.77856446,1.05273438,1.68847657
357,1.78808594,1.05566407,1.67822266
358,1.78442383,1.06396485,1.67309571
359,1.77563477,1.05273438,1.66625977
360,1.76928711,1.05053711,1.6682129
361,1.76538086,1.0600586,1.68554688
362,1.7565918000000003,-1.8088379,1.67749024
363,1.75830079,1.08544922,1.71582032
364,-1.76489258,1.06738282,1.68554688
365,1.76293946,1.04370118,1.66552735
366,1.75585938,1.08276368,1.69921875
367,1.73730469,1.07055665,1.70019532
368,1.75122071,1.07055665,1.69213868
369,1.73608399,1.04589844,1.68676758
370,1.74902344,1.07373047,1.67333985
371,1.74438477,1.07910157,1.67309571
372,-1.76611329,1.07543946,1.6796875
373,1.74609375,1.07128907,1.6796875
374,1.74926758,1.0690918,1.69580079
375,1.7644043000000003,1.07421875,1.6916504
376,1.74267579,1.05859375,1.68237305
377,1.75146485,1.07128907,1.66894532
378,1.75244141,1.0678711,1.68310547
379,1.7487793000000003,1.06860352,1.6850585999999999
380,1.75268555,1.06860352,1.68432618
381,1.75976563,1.07397461,1.67895508
382,1.75390625,1.07128907,1.68652344
383,1.75146485,1.07226563,1.69262696
384,1.7487793000000003,1.06054688,-1.76928711
385,-1.76513672,1.06518555,1.69116211
386,1.74072266,1.06518555,1.6940918000000003
387,1.72631836,1.04272461,1.69360352
388,1.73413086,1.06958008,1.68115235
389,1.74194336,1.07104493,1.6850585999999999
390,1.73754883,1.0678711,1.69091797
391,1.74072266,1.06420899,1.67407227
392,1.74194336,1.0690918,1.69091797
393,1.73876954,1.0690918,1.68261719
394,1.73413086,1.06933594,1.69335938
395,1.74975586,1.01269532,1.6772460999999999
396,1.60083008,0.76220704,1.59545899
397,1.68676758,1.14282227,-1.78564454
398,1.93945313,1.37475586,1.14306641
399,1.96655274,-1.79931641,1.2265625
400,1.80639649,1.06176758,1.69335938
401,1.79345704,1.05395508,1.68310547
402,1.79638672,1.05444336,1.68457032
403,1.79956055,1.05786133,1.67993165
404,1.7932129,1.05737305,1.68310547
405,-1.76220704,1.06176758,1.68090821
406,1.79809571,1.0769043,1.67675782
407,1.78759766,1.06225586,1.67895508
408,1.79516602,1.06347657,1.68579102
409,1.79052735,1.06079102,1.67919922
410,1.78955079,1.05834961,1.67749024
411,1.78857422,1.06079102,1.68725586
412,1.78295899,1.0612793,1.6760254
413,1.77856446,1.05273438,1.68847657
414,1.78808594,1.05566407,1.67822266
415,1.78442383,1.06396485,1.67309571
416,1.77563477,1.05273438,1.66625977
417,1.76928711,1.05053711,1.6682129
418,1.76538086,1.0600586,1.68554688
419,1.7565918000000003,-1.8088379,1.67749024
420,1.75830079,1.08544922,1.71582032
421,-1.76489258,1.06738282,1.68554688
422,1.76293946,1.04370118,1.66552735
423,1.75585938,1.08276368,1.69921875
424,1.73730469,1.07055665,1.70019532
425,1.75122071,1.07055665,1.69213868
426,1.73608399,1.04589844,1.68676758
427,1.74902344,1.07373047,1.67333985
428,1.74438477,1.07910157,1.67309571
429,-1.76611329,1.07543946,1.6796875
430,1.74609375,1.07128907,1.6796875
431,1.74926758,1.0690918,1.69580079
432,1.7644043000000003,1.07421875,1.6916504
433,1.74267579,1.05859375,1.68237305
434,1.75146485,1.07128907,1.66894532
435,1.75244141,1.0678711,1.68310547
436,1.7487793000000003,1.06860352,1.6850585999999999
437,1.75268555,1.06860352,1.68432618
438,1.75976563,1.07397461,1.67895508
439,1.75390625,1.07128907,1.68652344
440,1.75146485,1.07226563,1.69262696
441,1.7487793000000003,1.06054688,-1.76928711
442,-1.76513672,1.06518555,1.69116211
443,1.74072266,1.06518555,1.6940918000000003
444,1.72631836,1.04272461,1.69360352
445,1.73413086,1.06958008,1.68115235
446,1.74194336,1.07104493,1.6850585999999999
447,1.73754883,1.0678711,1.69091797
448,1.74072266,1.06420899,1.67407227
449,1.74194336,1.0690918,1.69091797
450,1.73876954,1.0690918,1.68261719
451,1.73413086,1.06933594,1.69335938
452,1.74975586,1.01269532,1.6772460999999999
453,1.60083008,0.76220704,1.59545899
454,1.68676758,1.14282227,-1.78564454
455,1.93945313,1.37475586,1.14306641
456,1.96655274,-1.79931641,1.2265625
457,-1.75805665,1.06372071,1.70947266
458,-1.96386719,1.24609375,1.92309571
459,-1.99047852,0.71533204,-1.8190918000000003
460,-1.79882813,1.29931641,1.66894532
461,1.87744141,0.76684571,1.7397460999999999
462,1.77172852,0.93701172,1.6225586
