,Axis1,Axis2,Axis3
256,1.48706055,1.02294922,-1.75073243
257,1.47094727,0.60449219,-1.80175782
258,1.47143555,-1.875,1.79003907
259,-1.79833985,-1.875,-1.80761719
260,-1.97680665,-1.875,-1.89160157
261,1.97900391,0.82739258,-1.81494141
262,-1.78295899,1.06201172,-1.77368165
263,1.50170899,1.45874024,1.7775879
264,1.34521485,0.80908204,1.9729004
265,0.51831055,-1.875,1.79980469
266,-1.875,-1.875,-1.53271485
267,-1.875,-1.47241211,1.13427735
268,-1.875,-0.93457032,1.89428711
269,-6.104e-05,-6.104e-05,-1.875
270,-1.41601563,-1.875,-1.875
271,1.60327149,1.23144532,1.7097168
272,1.67944336,1.1760254,1.8203125
273,1.66259766,1.08544922,1.82934571
274,1.64624024,1.09497071,1.83984375
275,1.63061524,1.06079102,1.87304688
276,1.6213379,1.07934571,1.85839844
277,1.62207032,1.10839844,1.83154297
278,1.60913086,1.08251954,1.83081055
279,1.59301758,1.09301758,1.85253907
280,1.53222657,-1.81079102,1.89965821
281,1.49804688,1.01098633,-1.75439454
282,1.43920899,0.90234375,-1.9453125
283,1.61865235,0.9519043,1.93334961
284,0.88867188,-1.875,1.95947266
285,-1.875,-0.69702149,-6.104e-05
286,-1.88964844,0.42993165,-1.5300293
287,1.64990235,1.07250977,1.51782227
288,1.58886719,1.24267579,1.60473633
289,1.32714844,0.58032227,1.60107422
290,-1.875,-1.96557618,0.64453125
291,-1.8347168,0.76000977,0.97143555
292,-1.875,-1.85302735,1.22973633
293,-1.875,-1.28466797,1.72607422
294,-1.875,-1.875,0.88305665
295,-1.58813477,-0.79223633,-1.19140625
296,1.68969727,1.30322266,1.77587891
297,1.68652344,1.02050782,1.87011719
298,1.6628418,1.0690918,1.87329102
299,1.65869141,1.05395508,1.87329102
300,1.67529297,1.0913086,1.86206055
301,1.65478516,1.07177735,1.82739258
302,1.63476563,1.06738282,1.84838868
303,1.64501954,1.07299805,1.85205079
304,1.63061524,1.0756836,1.86206055
305,1.62768555,1.09155274,1.85083008
306,1.63110352,1.10424805,1.85058594
307,1.62304688,1.08276368,1.88330079
308,1.51855469,1.00634766,1.93261719
309,1.54028321,1.03955079,1.92993165
310,1.5144043,0.79931641,-1.91650391
311,-1.9987793,0.95654297,1.62768555
312,0.5300293,-1.875,1.88867188
313,1.7229004,-1.875,1.45898438
314,-0.68579102,1.55932618,-0.49169922
315,1.67822266,0.55517579,-1.90527344
316,1.41845704,1.61840821,1.37060547
317,1.43188477,1.38500977,-1.75024415
318,0.95117188,0.2565918,1.73095704
319,0.25439454,-1.875,1.88452149
320,-1.875,1.54663086,0.77539063
321,-1.875,-1.11230469,1.3713379
322,0.61938477,1.74609375,1.8984375
323,-1.875,-1.75854493,-6.104e-05
324,0.96704102,-1.875,-1.0925293
325,1.76245118,1.55981446,1.68457032
326,1.66015625,1.01782227,1.86865235
327,1.64257813,1.04223633,1.8881836
328,1.65917969,1.08056641,1.84570313
329,1.67578125,1.08642579,1.81884766
330,1.64233399,1.06616211,1.87084961
331,1.63891602,1.08862305,1.8413086
332,1.63647461,-1.80639649,1.83496094
333,1.61621094,1.08178711,1.86889649
334,1.55834961,1.04223633,1.92456055
335,1.57666016,1.02124024,1.89404297
336,-1.78344727,0.69311524,-1.86083985
337,1.98583985,1.51464844,1.47021485
338,1.37646485,-1.875,1.8347168
339,-1.8671875,-1.8359375,-1.79248047
340,1.84863282,0.22705079,-0.99707032
341,1.68457032,0.55151368,-1.98657227
342,1.5378418,1.58154297,1.63427735
