,Axis1,Axis2,Axis3
164,1.70947266,1.07519532,1.74145508
165,1.70166016,1.00683594,1.8046875
166,1.75292969,1.09082032,1.72216797
167,1.70874024,1.23291016,1.72241211
168,1.70263672,-1.875,1.82470704
169,0.59570313,-1.875,-1.39355469
170,1.22924805,-1.56713868,1.03613282
171,1.23022461,0.9050293,1.77905274
172,-1.5300293,0.91259766,-1.8334961
173,-1.67260743,1.5378418,-1.94726563
174,-1.65478516,1.7565918,1.20922852
175,-1.76611329,1.38134766,1.75439454
176,1.67797852,1.83837891,1.66479493
177,-1.875,1.22436524,-1.875
178,0.70434571,1.6237793,1.69433594
179,1.54052735,1.11865235,-1.09741211
180,-1.78442383,-1.875,1.68554688
181,1.99023438,1.71972657,0.8828125
182,1.24267579,1.48779297,-1.79150391
183,-1.76928711,1.1159668,1.66088868
184,1.67553711,1.06958008,1.7253418
185,1.6682129,-1.8112793,1.75170899
186,-1.76904297,1.11840821,1.72631836
187,1.67700196,1.05981446,1.70947266
188,1.6682129,1.06640625,1.7734375
189,1.67333985,1.06811524,1.79052735
190,1.66894532,1.08764649,1.72949219
191,1.66113282,1.05297852,1.75244141
192,-1.77050782,1.07958985,1.74658204
193,1.69384766,1.10131836,-1.76831055
194,1.65869141,1.06201172,-1.76757813
195,1.63134766,1.27050782,1.68530274
196,0.89013672,1.80786133,0.3671875
197,1.00683594,1.52929688,1.40600586
198,1.3425293,1.22363282,1.85473633
199,1.64501954,1.11987305,1.8190918
200,1.6604004,1.03759766,1.77075196
201,1.68408204,1.0522461,1.77075196
202,-1.76928711,1.07275391,1.78637696
203,1.67626954,1.05712891,1.77783204
204,1.68237305,1.06713868,1.77978516
205,1.68188477,-1.80810547,1.77783204
206,1.6862793,1.07104493,1.78491211
207,1.68725586,1.0666504,1.77929688
208,1.68603516,1.0600586,1.78051758
209,-1.76953125,1.06372071,1.77709961
210,-1.76928711,1.0690918,1.7709961
211,1.68359375,1.05493165,1.7800293
212,1.69189454,1.05712891,1.79663086
213,1.73901368,1.08984375,1.72631836
214,1.70800782,1.03369141,1.76489258
215,1.67163086,1.20947266,1.74658204
216,1.54809571,0.1694336,-1.87719727
217,1.60839844,-1.875,-0.76074219
218,-1.73217774,1.2475586,-1.6796875
219,1.96142579,1.04858399,1.93090821
220,-1.97192383,1.11303711,1.54541016
221,-1.9975586,1.14746094,1.65942383
222,-1.88378907,1.03222657,1.7241211
223,-1.67285157,-0.9350586,1.04858399
224,1.76293946,1.16699219,1.35375977
225,1.20092774,1.64746094,1.14355469
226,0.8869629,0.00976563,1.65283204
227,0.92016602,1.64526368,-1.64770508
228,-0.86376954,0.5859375,0.35424805
229,-0.71240235,0.16650391,-1.25073243
230,1.58837891,0.81469727,1.1550293
231,1.58911133,0.8725586,1.68579102
232,1.71801758,1.18408204,1.66845704
233,1.74829102,1.05273438,1.73608399
234,1.75317383,1.05029297,1.68579102
235,1.75683594,1.04541016,1.72192383
236,1.77709961,1.04345704,1.68554688
237,1.79370118,1.05761719,1.69580079
238,1.7878418,1.0510254,1.68212891
239,1.79345704,1.05786133,1.69482422
240,1.8244629,1.07519532,1.65527344
241,1.95776368,1.11938477,-1.95458985
242,-0.29248047,-1.875,-1.875
243,1.38891602,0.09936524,-1.25585938
244,-1.21704102,-1.875,1.87622071
245,1.97705079,0.75219727,-1.60839844
246,-1.43823243,1.22167969,0.9362793
247,1.93090821,-1.81372071,-1.88598633
248,-1.85986329,1.81958008,1.08862305
249,1.71069336,1.64355469,-1.84497071
250,-1.80444336,1.36132813,1.4609375
251,0.44042969,-1.82202149,0.85546875
252,0.80249024,-0.49145508,1.21313477
253,1.54858399,-1.875,-1.55932618
254,1.92358399,-1.70898438,-1.99511719
255,1.80810547,1.50903321,1.92626954
256,1.6135254,1.03955079,1.64184571
257,1.60058594,1.09570313,-1.76245118
258,1.58520508,1.07495118,1.80029297
259,1.6159668,1.10009766,1.81518555
260,1.5925293,1.08691407,1.77465821
261,1.58007813,1.12817383,-1.76098633
262,1.60449219,1.11181641,1.76831055
263,1.61254883,1.10766602,1.75292969
264,1.61254883,1.0925293,-1.76489258
265,1.59350586,1.10644532,1.73876954
266,1.61962891,0.96313477,1.73120118
267,1.58129883,0.6616211,1.79589844
268,1.75512696,0.20678711,1.49316407
269,1.7253418,0.07275391,1.41113282
270,-1.875,-1.875,-6.104e-05
271,-1.19702149,1.82153321,1.87475586
272,1.81689454,1.02685547,1.94873047
273,1.41333008,1.33032227,1.34082032
