Label,Label,Axis1,Axis2,Axis3,date_hour,date_minute,date_second
CZ,3,19.718496,19.519178,4.203021,17,42,9
CZ,3,7.486519,19.519178,-8.981848,17,42,9
CZ,3,17.86299,-4.497059,-5.105635,17,42,9
CZ,3,7.053169,-2.4404397,0.5255273,17,42,8
CZ,3,3.758747,-4.6790185,4.6244006,17,42,8
CZ,3,2.358139,-0.95603466,-3.50152,17,42,8
CZ,3,10.021978,-8.038083,-1.3180081,17,42,8
CZ,3,15.808764,-5.7611976,-3.9205053,17,42,8
CZ,3,12.104934,-1.9472342,-3.3650506,17,42,8
CZ,3,9.229498,-2.6056397,-1.780089,17,42,8
CZ,3,9.11697,-3.1251814,-1.7441759,17,42,8
CZ,3,9.195979,-3.5058594,-2.457648,17,42,8
CZ,3,7.4673653,-2.7708395,-1.8590976,17,42,8
CZ,3,3.4666545,-9.644592,1.4688427,17,42,8
CZ,3,6.0092964,-19.706823,1.6723499,17,42,8
CZ,3,19.718496,18.42024,-10.425551,17,42,8
CZ,3,12.962058,-3.1826422,-0.061052144,17,42,7
CZ,3,4.661361,-4.865766,1.6053122,17,42,7
CZ,3,0.94077164,-9.254337,4.0785227,17,42,7
CZ,3,14.944457,-0.38860887,-12.889185,17,42,7
CZ,3,18.080862,-5.849783,-0.415394,17,42,7
CZ,3,11.494412,-2.7014077,-2.8263552,17,42,7
CZ,3,10.8886795,-0.5992986,-1.8567034,17,42,7
CZ,3,9.114576,-3.2257378,-1.8112136,17,42,7
CZ,3,8.903887,-2.8067527,-2.8095956,17,42,7
CZ,3,9.035567,-3.951181,-2.1799207,17,42,7
CZ,3,9.655665,-3.3023524,-0.58777654,17,42,7
CZ,3,9.454553,5.3933883,-3.5230677,17,42,7
CZ,3,6.677279,19.519178,-10.267534,17,42,6
CZ,3,19.718496,3.3798647,-3.1184478,17,42,6
CZ,3,9.804107,-3.3310828,-0.49679685,17,42,6
CZ,3,1.3406034,-1.2409446,1.7369933,17,42,6
CZ,3,4.3357496,-1.470788,3.942053,17,42,6
CZ,3,10.9605055,-0.23298575,-3.3506854,17,42,6
CZ,3,17.415274,-5.160253,-2.4265234,17,42,6
CZ,3,11.223868,-3.132364,-3.4560301,17,42,6
CZ,3,10.261399,-0.8818144,-1.2773066,17,42,6
CZ,3,9.485678,-2.3207297,-1.6675615,17,42,6
CZ,3,9.066692,-3.441216,-0.2765303,17,42,6
CZ,3,9.112182,-4.283975,-1.1001357,17,42,6
CZ,3,5.4777837,-5.7372556,-3.3123782,17,42,6
CZ,3,10.795306,7.6606975,1.0953473,17,42,6
CZ,3,19.718496,7.3518453,-7.1431007,17,42,5
CZ,3,11.542296,-1.8897734,-1.1456255,17,42,5
CZ,3,5.978172,-1.873014,0.4225766,17,42,5
CZ,3,4.1154833,-6.156241,6.5589156,17,42,5
CZ,3,11.017966,-1.6288054,-4.176685,17,42,5
CZ,3,18.69617,-2.6415527,-4.643554,17,42,5
CZ,3,12.006772,-2.2105963,-1.5717934,17,42,5
CZ,3,9.593416,-3.0006828,-0.9876082,17,42,5
CZ,3,8.702773,-2.63437,-0.78888947,17,42,5
CZ,3,8.053945,-3.2113726,-1.459266,17,42,5
CZ,3,11.228657,-5.294328,-3.891775,17,42,5
CZ,3,7.5080667,-11.27265,-5.517438,17,42,4
CZ,3,19.718496,-9.165752,-7.013814,17,42,4
CZ,3,19.718496,1.782932,-3.9731777,17,42,4
CZ,3,10.747422,-2.6726773,3.618836,17,42,4
CZ,3,5.5879173,-2.7804163,4.8542438,17,42,4
CZ,3,1.7715596,-5.4906526,1.4257472,17,42,4
CZ,3,6.428282,-1.4013562,-4.4304705,17,42,4
CZ,3,17.546955,-3.855413,-1.3108255,17,42,4
CZ,3,11.781717,-1.7245734,-1.4975731,17,42,4
CZ,3,9.9333935,-1.5330373,-2.1080947,17,42,4
CZ,3,9.361179,-3.5968392,-2.9724014,17,42,4
CZ,3,11.59018,-2.6846483,-2.6611552,17,42,4
CZ,3,14.939669,-0.67351884,-0.32441434,17,42,4
CZ,3,6.4234934,19.519178,-20.13344,17,42,3
CZ,3,14.50153,19.519178,-1.839944,17,42,3
CZ,3,19.718496,0.77257895,0.053869538,17,42,3
CZ,3,5.8153663,-1.7030256,2.2852654,17,42,3
CZ,3,-0.30421326,-5.342212,2.6252422,17,42,3
CZ,3,9.722704,-0.2976292,-5.093664,17,42,3
CZ,3,16.804752,-9.5392475,0.03232172,17,42,3
CZ,3,13.187114,-2.291999,-2.8550856,17,42,3
CZ,3,10.721086,-0.25692776,-1.0809821,17,42,3
CZ,3,9.9333935,-1.398962,-1.2294226,17,42,3
CZ,3,9.768193,-2.5936687,-2.1775265,17,42,3
CZ,3,11.33879,-4.4108677,-1.8926164,17,42,3
CZ,3,17.61878,0.19557635,-2.835932,17,42,3
CZ,3,19.718496,19.519178,-0.017956512,17,42,2
CZ,3,8.094646,19.519178,-8.620323,17,42,2
CZ,3,19.718496,0.77018476,-3.4440591,17,42,2
CZ,3,9.533562,-2.859425,0.22864626,17,42,2
CZ,3,5.1737204,-5.337424,0.973243,17,42,2
CZ,3,-1.501314,0.87552965,0.8319851,17,42,2
CZ,3,12.234221,-1.5689503,-2.6539726,17,42,2
CZ,3,15.825523,-3.3765726,-3.3722332,17,42,2
CZ,3,10.699538,-2.0070891,-2.3403323,17,42,2
CZ,3,10.498425,-0.49634793,-1.2533646,17,42,2
CZ,3,9.875933,-1.5785271,-1.4856021,17,42,2
CZ,3,9.569474,-1.4803648,-1.3012487,17,42,2
CZ,3,6.9981017,-5.7851396,-0.10175357,17,42,1
CZ,3,3.4738371,-9.565584,3.5063083,17,42,1
CZ,3,12.988395,-19.706823,5.2564697,17,42,1
CZ,3,19.718496,14.936676,-4.80636,17,42,1
CZ,3,15.497518,-4.236091,-2.9412768,17,42,1
CZ,3,6.8783917,-3.9727287,-2.2637177,17,42,1
CZ,3,2.3772926,-3.630358,1.6316484,17,42,1
CZ,3,17.762432,4.9360957,-8.2995,17,42,1
CZ,3,16.476746,-6.1538467,-1.2485762,17,42,1
CZ,3,11.168801,-0.54183775,-2.0171149,17,42,1
CZ,3,10.115353,0.5283704,-1.1240777,17,42,1
CZ,3,9.643695,-1.3917794,-1.875857,17,42,1
CZ,3,9.784953,-1.3151649,-1.2078748,17,42,0
CZ,3,9.650877,-2.9839234,-0.5734113,17,42,0
CZ,3,11.582998,-1.9615993,-0.7625532,17,42,0
CZ,3,19.718496,7.1866455,0.6811504,17,42,0
CZ,3,13.563003,19.519178,-7.3849154,17,42,0
CZ,3,19.718496,0.6863877,-12.625823,17,42,0
CZ,3,10.309283,-5.8210526,-7.171831,17,42,0
CZ,3,3.0883706,-5.4667106,-5.6060233,17,42,0
CZ,3,4.31899,-5.48347,-3.1280246,17,42,0
CZ,3,14.209437,0.36556467,-7.2987237,17,42,0
CZ,3,14.961217,-4.4348097,-2.4025815,17,42,0
CZ,3,11.427375,0.063895255,0.20470424,17,42,0
CZ,3,10.215909,0.35359368,-0.6428431,17,42,0
CZ,3,9.756223,-1.173907,-1.2677298,17,41,59
CZ,3,10.263793,-0.85308397,-0.7290344,17,41,59
CZ,3,10.297312,-2.46917,-0.5494693,17,41,59
CZ,3,11.362732,-1.9735703,-1.5622166,17,41,59
CZ,3,11.930158,-6.6757827,-5.886145,17,41,59
CZ,3,19.718496,3.4612675,-7.621941,17,41,59
CZ,3,16.462381,12.67655,-13.229161,17,41,59
CZ,3,19.718496,-5.7133136,-7.1047935,17,41,59
CZ,3,6.1026707,-4.461146,-3.894169,17,41,59
CZ,3,0.16265608,-5.2153196,-1.2892777,17,41,59
CZ,3,9.265411,2.4269724,-6.977901,17,41,59
CZ,3,18.557308,-8.797046,1.1432313,17,41,59
CZ,3,13.132047,-1.873014,-2.9771898,17,41,59
CZ,3,10.371532,-1.1523592,-1.0426749,17,41,59
CZ,3,9.708338,-1.5426141,-1.0402806,17,41,58
CZ,3,9.466524,-3.4507928,-1.0139444,17,41,58
CZ,3,10.3021,-5.4307976,-1.8854338,17,41,58
CZ,3,16.895731,1.591396,-3.4105403,17,41,58
CZ,3,19.718496,19.519178,10.585963,17,41,58
CZ,3,4.5129204,19.519178,-9.975441,17,41,58
CZ,3,19.718496,-0.40536827,-2.7712884,17,41,58
CZ,3,8.403499,-1.3750199,0.23104046,17,41,58
CZ,3,2.2791305,-3.7644331,0.94211835,17,41,58
CZ,3,3.7060745,-1.0398318,-2.8119898,17,41,58
CZ,3,10.065074,-5.8593597,-0.5590461,17,41,58
