Label,Axis1,Axis2,Axis3,time
3,12.583775,-1.2936171,-2.1631613,63657
3,19.718496,-2.6176107,0.32920274,63658
3,8.109012,-3.4340334,-0.61650693,63658
3,2.3294086,-3.6590884,2.086547,63658
3,2.9447184,-1.8418893,-2.6324248,63658
3,12.667572,-6.3382,-1.483208,63658
3,14.379426,-3.1179988,-0.7505822,63658
3,12.262952,-1.2624925,-2.9053638,63658
3,10.31886,-1.6910546,-1.6172832,63658
3,9.380333,-1.7820343,-1.7585411,63658
3,9.454553,-2.6487353,-1.6651673,63658
3,8.9062805,-3.4843116,-2.1272483,63658
3,19.718496,-3.0198364,-3.1280246,63659
3,8.47293,-3.5609262,-1.4377182,63659
3,3.3852515,-4.911256,0.11133038,63659
3,6.0332384,-3.8961143,-0.20949265,63659
3,17.59005,-12.666075,-0.23104046,63659
3,14.178313,-2.0118775,-1.4999673,63659
3,11.676373,-0.8219594,-1.4185646,63659
3,10.024373,-2.6247933,-1.282095,63659
3,9.222315,-2.5457847,-1.4089876,63659
3,9.775376,-3.1491234,-1.4664485,63659
3,10.740239,-1.8299183,-2.7018566,63659
3,7.7019973,-3.465158,-4.9308586,63659
3,4.469825,-3.0533555,-1.863886,63659
3,14.111275,19.519178,-9.029732,63659
3,0.79711956,-7.8297877,7.0784574,63660
3,16.931644,5.0198927,-6.96593,63660
3,18.317888,-8.255956,-2.553416,63660
3,12.607717,-2.5122657,-3.0322564,63660
3,9.674819,-1.1212345,-2.1655555,63660
3,9.801712,-1.0996867,-1.2509704,63660
3,8.891915,-4.3988967,-2.1942859,63660
3,12.092963,-0.8052,-4.3538556,63660
3,16.036213,1.7087119,-1.5765818,63660
3,19.718496,19.519178,-20.13344,63660
3,10.996419,19.519178,-9.5971575,63660
3,4.6876974,-5.5648727,8.89805,63661
3,17.815105,-19.706823,4.0426097,63661
3,19.718496,10.483461,-12.680889,63661
3,12.701091,-3.1730654,0.24779987,63661
3,3.4570775,-4.5521255,1.5861586,63661
3,-0.34491467,-9.955839,3.6260185,63661
3,15.078532,1.9026421,-15.812505,63661
3,16.222961,-6.618322,-3.6475663,63661
3,11.985224,-1.5833155,-3.0466216,63661
3,9.416245,-1.482759,-1.5310919,63661
3,10.03395,-1.1092635,-2.0386627,63661
3,10.177602,-2.004695,-2.7688942,63661
3,8.343643,-2.8019643,-2.457648,63661
3,4.88881,-9.709236,-1.0761937,63661
3,9.176826,-19.706823,13.030443,63661
3,19.718496,19.095404,-12.61864,63661
3,14.578144,-3.8099232,-0.16400282,63661
3,5.786636,-4.1714478,0.6907272,63661
3,0.4810849,-6.5919857,1.6962919,63662
3,16.876577,2.5323172,-8.062474,63662
3,18.044949,-5.306299,-4.655525,63662
3,10.622923,-0.74055654,-2.3475149,63662
3,11.329213,0.15487492,0.027533319,63662
3,9.761011,-2.442834,-1.5382746,63662
3,9.011625,-3.1946132,-0.4177882,63662
3,6.9238815,-5.390096,0.06823475,63662
3,3.0021794,-4.2432737,1.2964603,63663
3,2.6095302,-9.843311,1.3156139,63663
3,12.88305,-2.8306947,-4.703409,63663
3,14.760104,-3.309535,-3.858256,63663
3,11.1592245,-0.4604349,-1.567005,63663
3,11.044303,-1.446846,-1.4496891,63663
3,9.993248,-1.9592052,-2.136825,63663
3,9.203161,-3.642329,-0.5758055,63663
3,9.2702,-4.46354,-1.0785879,63663
3,11.614122,-5.093215,7.6410947,63663
3,19.718496,9.609577,-11.19409,63663
3,19.718496,-12.668469,6.659472,63663
3,13.110498,-3.3167176,0.7410054,63663
3,5.7124157,-3.2736218,0.2789245,63663
3,19.718496,0.262614,-5.507861,63664
3,9.825654,-3.7644331,1.2174516,63664
3,9.708338,-2.8690019,-1.9309237,63665
3,9.684396,-5.3709426,-1.2797008,63665
3,16.687437,2.1300914,-3.38181,63665
3,19.718496,19.519178,-0.80804306,63665
3,18.286762,12.022933,-7.60997,63665
3,19.718496,7.191434,-6.8438253,63665
3,11.786506,-4.353407,-1.2677298,63665
3,2.6598084,-4.094833,-2.1535845,63665
3,2.2839189,-9.615862,0.130484,63665
3,11.178378,-3.9679403,-2.634819,63665
3,14.8295355,-3.3262944,-3.5326445,63665
3,10.819248,-0.5945102,-0.51355624,63665
3,11.1831665,-1.0134956,-1.0737995,63665
3,10.242246,-1.9639935,-2.2278047,63665
3,9.090634,-5.184195,-0.029927522,63665
3,8.448988,-3.2951698,-0.439336,63665
3,12.399421,3.0829835,-1.1671734,63665
3,16.036213,17.766623,-10.44231,63665
3,11.331607,0.1189619,0.80086046,63666
3,10.778546,-1.3726257,-2.2517467,63666
3,10.294918,-0.93927526,-0.9588778,63666
3,9.801712,-1.4803648,-0.7505822,63666
3,14.901361,0.16445173,-5.3043537,63666
3,19.718496,19.519178,0.17118542,63666
3,11.626094,19.519178,-13.006501,63666
3,19.718496,-0.18270752,-7.0784574,63666
3,9.121758,-4.082862,0.82001406,63666
3,3.878457,-3.891326,1.6460136,63666
3,5.362862,-5.593603,-1.435324,63666
3,10.34759,1.6129438,-2.9939492,63666
3,16.464775,-4.037372,-2.4384944,63666
3,11.4537115,-1.3726257,-1.4209588,63666
3,10.575039,-0.85308397,-0.9588778,63666
3,11.594969,-1.908927,-1.4879963,63667
3,10.091411,-1.5378257,-1.6077064,63667
3,9.653272,-1.482759,-1.7130513,63667
3,9.41864,-2.2369325,-2.2421699,63667
