Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.108643,0.153809,0.870605,6.396946,12.045801,-1.343511,0,1445409698.957883
0.105225,0.123291,0.874756,-1.129771,-10.259542,6.381680,0,1445409698.988645
0.104492,0.129150,0.869873,2.244275,5.480916,-6.351145,0,1445409699.017944
0.103760,0.009521,0.873535,31.175573,4.030534,17.251909,0,1445409699.047930
0.099609,0.008057,0.870117,-1.328244,5.190840,4.931298,0,1445409699.077913
0.006592,0.126953,0.869629,-0.167939,11.160305,-3.099237,0,1445409699.107911
0.087891,0.122070,0.858154,-3.648855,7.236641,8.946565,0,1445409699.167986
0.089355,0.119629,0.862549,1.129771,0.687023,-1.328244,0,1445409699.227483
0.085693,0.124268,0.868408,5.511450,3.435115,4.183206,0,1445409699.231569
0.085449,0.122314,0.868408,-1.267176,0.992366,-2.000000,0,1445409699.257975
0.087402,0.116455,0.870361,-1.618321,4.793893,7.435114,0,1445409699.287969
0.084473,0.122314,0.871582,2.778626,4.503817,-10.015267,0,1445409699.317942
0.080566,0.124756,0.881592,-0.671756,29.068703,-3.251908,0,1445409699.347962
0.074707,0.118896,0.881836,1.297710,9.404580,-0.396947,0,1445409699.377943
0.077637,0.132568,0.880615,-3.557252,2.259542,-12.885496,0,1445409699.408047
0.074219,0.008789,0.901855,-3.709924,5.694656,-0.824427,0,1445409699.467320
0.061279,0.109619,0.879639,-26.778625,11.557252,-8.137404,0,1445409699.472015
0.089844,0.107178,0.989746,-9.145039,18.213741,-10.564885,0,1445409699.498297
0.035400,0.089355,0.855957,5.648855,22.320610,1.480916,0,1445409699.527909
0.014648,0.058594,0.716309,13.862596,-8.320611,8.763359,0,1445409699.557843
0.047119,0.115234,0.923584,21.038168,-12.916031,11.435115,0,1445409699.587930
0.065918,0.171387,0.928711,19.114504,-0.488550,6.916030,0,1445409699.617954
0.512695,0.013428,3.395020,77.572517,-60.870228,17.465649,0,1445409699.647914
1.893555,0.231689,3.204834,110.030533,250.129776,-63.893131,0,1445409699.677990
1.519775,-0.934570,0.511963,17.740458,250.129776,10.839695,0,1445409699.708036
0.973145,-0.192627,-0.754883,26.793894,161.679382,4.717557,0,1445409699.737938
0.861816,0.489014,-0.457031,1.832061,15.633588,-22.549618,0,1445409699.768181
0.945801,-0.315674,0.032227,33.389313,15.633588,-32.381680,0,1445409699.797927
0.646729,-0.207764,1.179443,-31.832062,-144.045807,-23.847328,0,1445409699.827849
0.596924,-0.026855,0.738770,-72.519081,-77.694656,-31.633587,0,1445409699.857930
0.404541,0.040283,0.446777,-72.961830,-142.488556,-32.015266,0,1445409699.887964
0.024658,0.003174,0.709473,-51.587788,-235.832062,-27.694656,0,1445409699.917978
0.413574,0.005615,1.136963,-45.923664,15.633588,-22.229008,0,1445409699.948002
-0.352539,-0.665039,-0.147705,-226.839691,15.633588,-1.465649,0,1445409699.978207
-0.390137,1.617188,-0.804199,138.519089,58.458015,-132.519089,0,1445409700.008008
-1.763672,-0.433105,-3.992920,105.816795,5.450382,70.992363,0,1445409700.038503
-0.479004,-0.725342,1.892578,29.648855,39.832062,250.129776,0,1445409700.068105
0.490479,0.355225,3.999878,-93.282440,68.580154,250.129776,0,1445409700.098093
-1.602051,1.058350,3.999878,169.068695,-97.587784,8.335877,0,1445409700.158015
-1.597900,0.583008,3.771729,49.206108,9.389313,18.274809,0,1445409700.188396
-1.606689,1.163574,0.860840,55.541985,10.381680,-89.145035,0,1445409700.217968
0.356201,0.229492,0.359863,-33.862595,24.839695,91.404579,0,1445409700.248012
0.147949,0.141846,0.916992,14.916031,10.961832,3.786260,0,1445409700.277952
0.107422,0.155273,0.880615,-0.198473,2.748092,12.015267,0,1445409700.307992
0.120850,0.140869,0.846191,-10.854961,0.381679,14.900764,0,1445409700.337987
0.009521,0.131836,0.869385,31.160305,6.274809,-8.076336,0,1445409700.368064
0.121826,0.134033,0.868164,-0.396947,0.748092,-2.656489,0,1445409700.398351
0.114014,0.149170,0.868896,-3.664122,18.000000,32.244274,0,1445409700.427925
