Axis1,Axis2,Axis3,Axis4,Axis5,Axis6,Label,Timestamp
0.100098,0.153076,0.893311,7.648855,5.297710,47.328243,0,1445409207.559316
0.137695,0.130371,0.855469,0.366412,18.610687,36.229008,0,1445409207.589639
0.248291,0.096191,0.828125,6.717557,39.832062,49.236641,0,1445409207.619459
0.370117,0.154541,0.709229,6.946565,27.221375,52.137405,0,1445409207.649540
0.309082,0.026611,0.801270,2.381679,0.213740,73.022903,0,1445409207.679864
0.318604,0.077393,0.778564,6.320611,0.595420,99.038170,0,1445409207.709778
0.352051,0.009521,0.720703,-1.648855,1.770992,90.961830,0,1445409207.739672
0.823242,0.081543,0.088623,-42.534351,8.320611,37.526718,0,1445409207.769441
0.093506,0.037598,1.027832,25.007633,13.022901,-2.854962,0,1445409207.799408
0.089111,0.009033,0.929688,9.648855,10.381680,4.732824,0,1445409207.829420
0.134277,0.142578,0.880371,4.610687,7.633588,-2.213740,0,1445409207.859538
0.111816,0.159180,0.879395,5.480916,-0.671756,-3.083969,0,1445409207.889839
0.110352,0.155518,0.853271,-0.274809,2.259542,11.541985,0,1445409207.919487
0.110107,0.149902,0.859131,0.061069,10.961832,6.122138,0,1445409207.949531
0.109375,0.132812,0.888428,3.847328,8.717557,0.320611,0,1445409208.152871
0.393311,-0.568848,0.934326,-17.740458,-186.137405,-100.534348,0,1445409213.619666
0.120361,-0.925537,0.910400,-43.648853,-191.908401,-57.068703,0,1445409213.649749
0.025635,-0.731445,0.953369,-85.404579,15.633588,-18.488550,0,1445409213.680612
0.415527,0.470703,1.367188,-108.091606,15.633588,-32.870228,0,1445409213.709799
-2.107910,-0.381836,0.687012,15.633588,15.633588,36.381680,0,1445409213.739876
-0.442871,-0.023193,2.729736,248.305344,18.442749,19.435114,0,1445409213.770196
-2.626953,1.888184,0.431152,6.137404,-67.832062,-249.557251,0,1445409213.799743
-1.710693,0.575195,0.934082,76.916031,96.885498,111.099236,0,1445409213.851269
-0.388428,-0.588135,1.197998,74.244278,-20.351145,30.946566,0,1445409213.859157
0.046387,0.185791,0.893555,55.648853,22.412214,-4.106870,0,1445409213.889899
0.006592,0.212158,0.855469,-13.374045,-1.068702,5.007634,0,1445409213.919810
0.090332,0.172363,0.911133,-22.442749,-8.412213,3.465649,0,1445409213.949905
0.087402,0.124756,0.880127,-3.709924,0.229008,3.114504,0,1445409213.980131
0.080322,0.174805,0.817871,0.778626,8.702291,4.106870,0,1445409214.009855
0.084473,0.160400,0.850830,-2.870229,0.106870,3.587786,0,1445409214.039942
0.109131,0.167236,0.055664,-0.625954,0.396947,11.160305,0,1445409214.069812
0.097900,0.197266,0.820312,-3.419847,0.885496,2.641221,0,1445409214.129783
0.081055,0.150146,0.866455,4.809160,-5.480916,7.022901,0,1445409214.159915
0.109863,0.177734,0.054932,11.053435,30.992367,7.206107,0,1445409214.190224
0.107178,0.175537,0.868164,-4.030534,3.435115,2.076336,0,1445409214.219826
0.007080,0.166748,0.863037,-2.396947,1.862595,-7.282443,0,1445409214.249801
0.098389,0.164062,0.871094,-2.564885,1.770992,-2.961832,0,1445409214.279832
0.100342,0.010742,0.863770,-2.229008,0.229008,6.977099,0,1445409214.309876
0.095703,0.160645,0.850830,6.519084,-7.633588,1.755725,0,1445409214.339868
0.117188,0.170166,0.877197,3.465649,31.022902,-0.778626,0,1445409214.369874
0.105469,0.170898,0.870361,-2.671756,0.778626,0.152672,0,1445409214.399938
0.106689,0.166016,0.859375,1.694656,-2.641221,5.083970,0,1445409214.429798
0.111084,0.168457,0.860107,0.198473,-5.267176,30.961832,0,1445409214.459970
0.110840,0.175781,0.858154,-0.229008,-2.335878,-2.717557,0,1445409214.489873
0.113770,0.167969,0.858154,-2.763359,-4.687023,0.824427,0,1445409214.519891
0.111328,0.176758,0.870117,0.854962,31.160305,-2.748092,0,1445409214.549929
0.109375,0.170654,0.852295,2.351145,5.480916,-2.534351,0,1445409214.579848
0.112793,0.174316,0.862793,4.427481,2.259542,7.007634,0,1445409214.639818
0.109375,0.176270,0.862793,0.931298,-1.557252,8.305344,0,1445409214.670150
0.107178,0.173340,0.866699,0.122137,4.702290,10.396947,0,1445409214.699840
0.103760,0.173828,0.858154,-0.702290,2.946565,4.030534,0,1445409214.729819
0.107666,0.178223,0.863770,1.022901,4.900764,3.206107,0,1445409214.759843
0.104980,0.177246,0.866455,1.480916,3.526718,-3.404580,0,1445409214.789941
0.104492,0.176514,0.864746,3.343511,0.595420,-0.641221,0,1445409214.820268
0.100830,0.175781,0.857422,2.580153,-2.931298,-3.206107,0,1445409214.849921
0.107422,0.185059,0.862549,1.267176,-0.977099,-3.068702,0,1445409214.879911
0.107666,0.181641,0.855225,0.977099,-3.129771,-1.297710,0,1445409214.909928
0.109375,0.178467,0.861084,-1.450382,-1.755725,-0.931298,0,1445409214.939939
0.109131,0.179443,0.869141,1.664122,30.992367,4.183206,0,1445409214.969856
0.106934,0.176514,0.854492,-3.374046,0.503817,6.045802,0,1445409214.999879
0.112549,0.177002,0.861816,-3.984733,2.549618,11.557252,0,1445409215.030067
0.117432,0.175537,0.859375,-3.328244,0.198473,4.854962,0,1445409215.059859
0.110840,0.176758,0.869629,0.732824,-0.870229,8.625955,0,1445409215.090300
0.119141,0.175049,0.865234,-1.633588,2.549618,-1.389313,0,1445409215.120003
0.114746,0.173096,0.864258,-3.450382,0.015267,1.648855,0,1445409215.149929
0.118408,0.174805,0.862305,-1.312977,-1.175573,1.450382,0,1445409215.179819
0.115479,0.174316,0.858398,-2.931298,3.618321,-2.717557,0,1445409215.209893
0.117432,0.174561,0.858398,-1.465649,0.793893,3.832061,0,1445409215.240311
0.113281,0.169189,0.860596,0.122137,0.992366,7.755725,0,1445409215.269882
0.117920,0.173096,0.862305,2.473282,-3.221374,3.236641,0,1445409215.299935
0.113525,0.172852,0.856934,1.480916,0.137405,8.000000,0,1445409215.329837
0.115967,0.176514,0.847168,1.587786,-0.488550,5.374046,0,1445409215.359863
0.113770,0.174805,0.854736,-3.755725,0.778626,9.954199,0,1445409215.389870
0.116699,0.170898,0.864258,-1.984733,4.213740,8.580153,0,1445409215.419904
0.118896,0.168457,0.860352,1.541985,4.793893,9.908397,0,1445409215.450247
0.119385,0.171387,0.859863,-1.801527,-3.709924,5.083970,0,1445409215.479868
0.119873,0.171143,0.856445,0.488550,-1.068702,0.183206,0,1445409215.509956
0.119873,0.169922,0.860596,-1.526718,-1.465649,-2.916031,0,1445409215.539865
0.122803,0.170410,0.859619,-3.709924,-0.091603,-2.137405,0,1445409215.569929
0.123047,0.169189,0.864990,2.519084,-2.534351,11.633588,0,1445409215.629865
0.128662,0.166504,0.863770,0.610687,31.236641,4.137404,0,1445409215.660252
0.121338,0.172852,0.855225,0.091603,0.778626,4.366412,0,1445409215.689933
0.116943,0.175781,0.856689,-1.770992,-3.618321,-19.374046,0,1445409215.719926
0.127930,0.166748,0.857666,-2.061069,0.351145,3.145038,0,1445409215.749908
0.135986,0.167725,0.860596,5.572519,-1.755725,-18.152672,0,1445409215.779920
0.120117,0.176514,0.867676,0.000000,-0.580153,-9.419847,0,1445409215.839363
0.120361,0.170654,0.861572,-0.381679,-5.572519,-10.732824,0,1445409215.843296
0.119141,0.173096,0.868896,-1.496183,1.083969,-6.091603,0,1445409215.870108
0.124756,0.168457,0.860840,-1.480916,-4.977099,-0.274809,0,1445409215.899826
0.008545,0.170410,0.860352,-1.725191,0.000000,-1.587786,0,1445409215.929800
0.008545,0.173584,0.856445,-2.595420,0.992366,-0.564885,0,1445409215.959933
0.127930,0.170166,0.864502,-1.419847,2.946565,4.106870,0,1445409215.989936
0.009521,0.167236,0.859375,-2.290076,0.137405,1.801527,0,1445409216.019938
0.121338,0.165771,0.864258,-0.152672,-0.198473,3.496183,0,1445409216.049958
0.123779,0.163574,0.864014,-3.526718,-2.534351,-5.206107,0,1445409216.080127
0.008057,0.167480,0.857422,-1.725191,30.900763,-2.992366,0,1445409216.139884
0.124023,0.168701,0.859863,-0.961832,-1.358779,31.007633,0,1445409216.169931
0.121582,0.168213,0.863281,-1.007634,0.122137,-4.137404,0,1445409216.199936
0.121582,0.167236,0.851807,0.503817,1.374046,-1.221374,0,1445409216.229828
0.123535,0.167969,0.857422,-0.961832,6.167939,6.549618,0,1445409216.260043
0.123291,0.166504,0.853271,-4.351145,1.267176,0.229008,0,1445409216.290342
0.124268,0.166748,0.864990,-1.679389,4.900764,-0.427481,0,1445409216.319998
0.007812,0.166016,0.858643,0.015267,0.106870,8.396947,0,1445409216.349980
0.123535,0.168213,0.857666,2.717557,-3.419847,4.992366,0,1445409216.380011
0.123047,0.166260,0.863525,0.916031,4.320611,-5.587786,0,1445409216.409957
0.124023,0.168457,0.860352,-2.717557,2.259542,-1.145038,0,1445409216.439892
0.008057,0.166504,0.857666,1.038168,4.992366,11.175572,0,1445409216.469940
0.124756,0.169434,0.866699,0.748092,3.526718,6.229008,0,1445409216.500220
0.121582,0.170898,0.865723,-0.122137,0.106870,-1.648855,0,1445409216.529869
0.121094,0.166992,0.858154,-2.061069,5.480916,2.916031,0,1445409216.559946
